[2025-08-11 11:47:00] Iniciando scraping do processo: 71000.018694/2024-65
[2025-08-11 11:47:02] ℹ️ Processo 71000.018694/2024-65 sem links.
[2025-08-11 11:47:02] Iniciando scraping do processo: 71000.021585/2024-25
[2025-08-11 11:47:05] ℹ️ Processo 71000.021585/2024-25 sem links.
[2025-08-11 11:47:05] Iniciando scraping do processo: 71000.016809/2024-87
[2025-08-11 11:47:08] ℹ️ Processo 71000.016809/2024-87 sem links.
[2025-08-11 11:47:08] Iniciando scraping do processo: 71000.012990/2024-52
[2025-08-11 11:47:11] ℹ️ Processo 71000.012990/2024-52 sem links.
[2025-08-11 11:47:11] Iniciando scraping do processo: 71000.066636/2024-48
[2025-08-11 11:47:14] ℹ️ Processo 71000.066636/2024-48 sem links.
[2025-08-11 11:47:14] Iniciando scraping do processo: 71000.066957/2024-42
[2025-08-11 11:47:18] ℹ️ Processo 71000.066957/2024-42 sem links.
[2025-08-11 11:47:18] Iniciando scraping do processo: 71000.065849/2024-52
[2025-08-11 11:47:20] ℹ️ Processo 71000.065849/2024-52 sem links.
[2025-08-11 11:47:20] Iniciando scraping do processo: 71000.065847/2024-63
[2025-08-11 11:47:23] ℹ️ Processo 71000.065847/2024-63 sem links.
[2025-08-11 11:47:23] Iniciando scraping do processo: 71000.090384/2024-78
[2025-08-11 11:47:26] ℹ️ Processo 71000.090384/2024-78 sem links.
[2025-08-11 11:47:26] Iniciando scraping do processo: 71000.016866/2024-66
[2025-08-11 11:47:28] ℹ️ Processo 71000.016866/2024-66 sem links.
[2025-08-11 11:47:28] Iniciando scraping do processo: 71000.078986/2024-57
[2025-08-11 11:47:31] ℹ️ Processo 71000.078986/2024-57 sem links.
[2025-08-11 11:47:31] Iniciando scraping do processo: 71000.075015/2024-55
[2025-08-11 11:47:33] ℹ️ Processo 71000.075015/2024-55 sem links.
[2025-08-11 11:47:34] Iniciando scraping do processo: 71000.082439/2024-76
[2025-08-11 11:47:36] ℹ️ Processo 71000.082439/2024-76 sem links.
[2025-08-11 11:47:36] Iniciando scraping do processo: 71000.079870/2023-54
[2025-08-11 11:47:39] ℹ️ Processo 71000.079870/2023-54 sem links.
[2025-08-11 11:47:39] Iniciando scraping do processo: 71000.084354/2024-22
[2025-08-11 11:47:41] ℹ️ Processo 71000.084354/2024-22 sem links.
[2025-08-11 11:47:41] Iniciando scraping do processo: 71000.084504/2024-06
