[2025-07-14 08:21:32] Iniciando scraping do processo: 71000.075031/2024-48
[2025-07-14 08:21:34] ℹ️ Processo 71000.075031/2024-48 sem links.
[2025-07-14 08:21:34] Iniciando scraping do processo: 71000.044189/2024-76
[2025-07-14 08:21:37] ℹ️ Processo 71000.044189/2024-76 sem links.
[2025-07-14 08:21:37] Iniciando scraping do processo: 71000.013188/2024-80
[2025-07-14 08:21:40] ℹ️ Processo 71000.013188/2024-80 sem links.
[2025-07-14 08:21:40] Iniciando scraping do processo: 71000.016672/2024-61
[2025-07-14 08:21:42] ℹ️ Processo 71000.016672/2024-61 sem links.
[2025-07-14 08:21:42] Iniciando scraping do processo: 71000.011245/2024-96
[2025-07-14 08:21:45] ℹ️ Processo 71000.011245/2024-96 sem links.
[2025-07-14 08:21:45] Iniciando scraping do processo: 71000.016608/2024-80
[2025-07-14 08:21:48] ℹ️ Processo 71000.016608/2024-80 sem links.
[2025-07-14 08:21:48] Iniciando scraping do processo: 71000.012672/2024-91
[2025-07-14 08:21:50] ℹ️ Processo 71000.012672/2024-91 sem links.
[2025-07-14 08:21:50] Iniciando scraping do processo: 71000.013086/2024-64
[2025-07-14 08:21:53] ℹ️ Processo 71000.013086/2024-64 sem links.
[2025-07-14 08:21:53] Iniciando scraping do processo: 71000.011638/2024-08
[2025-07-14 08:21:56] ℹ️ Processo 71000.011638/2024-08 sem links.
[2025-07-14 08:21:56] Iniciando scraping do processo: 71000.017487/2024-93
[2025-07-14 08:21:59] ℹ️ Processo 71000.017487/2024-93 sem links.
[2025-07-14 08:21:59] Iniciando scraping do processo: 71000.011823/2024-94
[2025-07-14 08:22:01] ℹ️ Processo 71000.011823/2024-94 sem links.
[2025-07-14 08:22:01] Iniciando scraping do processo: 71000.010844/2024-92
[2025-07-14 08:22:04] ℹ️ Processo 71000.010844/2024-92 sem links.
[2025-07-14 08:22:04] Iniciando scraping do processo: 71000.012018/2024-88
[2025-07-14 08:22:06] ℹ️ Processo 71000.012018/2024-88 sem links.
[2025-07-14 08:22:06] Iniciando scraping do processo: 71000.016993/2024-65
[2025-07-14 08:22:09] ℹ️ Processo 71000.016993/2024-65 sem links.
[2025-07-14 08:22:09] Iniciando scraping do processo: 71000.022001/2024-39
[2025-07-14 08:22:11] ℹ️ Processo 71000.022001/2024-39 sem links.
[2025-07-14 08:22:11] Iniciando scraping do processo: 71000.017360/2024-74
[2025-07-14 08:22:14] ℹ️ Processo 71000.017360/2024-74 sem links.
[2025-07-14 08:22:14] Iniciando scraping do processo: 71000.017004/2024-51
[2025-07-14 08:22:16] ℹ️ Processo 71000.017004/2024-51 sem links.
[2025-07-14 08:22:16] Iniciando scraping do processo: 71000.018694/2024-65
[2025-07-14 08:22:19] ℹ️ Processo 71000.018694/2024-65 sem links.
[2025-07-14 08:22:19] Iniciando scraping do processo: 71000.021585/2024-25
[2025-07-14 08:22:22] ℹ️ Processo 71000.021585/2024-25 sem links.
[2025-07-14 08:22:22] Iniciando scraping do processo: 71000.016809/2024-87
[2025-07-14 08:22:26] ℹ️ Processo 71000.016809/2024-87 sem links.
[2025-07-14 08:22:26] Iniciando scraping do processo: 71000.012990/2024-52
[2025-07-14 08:22:28] ℹ️ Processo 71000.012990/2024-52 sem links.
[2025-07-14 08:22:28] Iniciando scraping do processo: 71000.066636/2024-48
[2025-07-14 08:22:31] ℹ️ Processo 71000.066636/2024-48 sem links.
[2025-07-14 08:22:31] Iniciando scraping do processo: 71000.066957/2024-42
[2025-07-14 08:22:34] ℹ️ Processo 71000.066957/2024-42 sem links.
[2025-07-14 08:22:34] Iniciando scraping do processo: 71000.065849/2024-52
[2025-07-14 08:22:37] ℹ️ Processo 71000.065849/2024-52 sem links.
[2025-07-14 08:22:37] Iniciando scraping do processo: 71000.065847/2024-63
[2025-07-14 08:22:39] ℹ️ Processo 71000.065847/2024-63 sem links.
[2025-07-14 08:22:39] Iniciando scraping do processo: 71000.090384/2024-78
[2025-07-14 08:22:42] ℹ️ Processo 71000.090384/2024-78 sem links.
[2025-07-14 08:22:42] Iniciando scraping do processo: 71000.016866/2024-66
[2025-07-14 08:22:45] ℹ️ Processo 71000.016866/2024-66 sem links.
[2025-07-14 08:22:45] Iniciando scraping do processo: 71000.078986/2024-57
[2025-07-14 08:22:48] ℹ️ Processo 71000.078986/2024-57 sem links.
[2025-07-14 08:22:48] Iniciando scraping do processo: 71000.075015/2024-55
[2025-07-14 08:22:50] ℹ️ Processo 71000.075015/2024-55 sem links.
[2025-07-14 08:22:51] Iniciando scraping do processo: 71000.082439/2024-76
